  1995.00000 
 11 11  8  8
  2  1-29682.0000     0.0000    17.6000     0.0000     0.0000     0.0000    0.0
  2  2 -1789.0000  5318.0000    13.0000   -18.3000     0.0000     0.0000    0.0
  3  1 -2197.0000     0.0000   -13.2000     0.0000     0.0000     0.0000    0.0
  3  2  3074.0000 -2356.0000     3.7000   -15.0000     0.0000     0.0000    0.0
  3  3  1685.0000  -425.0000    -0.8000    -8.8000     0.0000     0.0000    0.0
  4  1  1329.0000     0.0000     1.5000     0.0000     0.0000     0.0000    0.0
  4  2 -2268.0000  -263.0000    -6.4000     4.1000     0.0000     0.0000    0.0
  4  3  1249.0000   302.0000    -0.2000     2.2000     0.0000     0.0000    0.0
  4  4   769.0000  -406.0000    -8.1000   -12.1000     0.0000     0.0000    0.0
  5  1   941.0000     0.0000     0.8000     0.0000     0.0000     0.0000    0.0
  5  2   782.0000   262.0000     0.9000     1.8000     0.0000     0.0000    0.0
  5  3   291.0000  -232.0000    -6.9000     1.2000     0.0000     0.0000    0.0
  5  4  -421.0000    98.0000     0.5000     2.7000     0.0000     0.0000    0.0
  5  5   116.0000  -301.0000    -4.6000    -1.0000     0.0000     0.0000    0.0
  6  1  -210.0000     0.0000     0.8000     0.0000     0.0000     0.0000    0.0
  6  2   352.0000    44.0000     0.1000     0.2000     0.0000     0.0000    0.0
  6  3   237.0000   157.0000    -1.5000     1.2000     0.0000     0.0000    0.0
  6  4  -122.0000  -152.0000    -2.0000     0.3000     0.0000     0.0000    0.0
  6  5  -167.0000   -64.0000    -0.1000     1.8000     0.0000     0.0000    0.0
  6  6   -26.0000    99.0000     2.3000     0.9000     0.0000     0.0000    0.0
  7  1    66.0000     0.0000     0.5000     0.0000     0.0000     0.0000    0.0
  7  2    64.0000   -16.0000    -0.4000     0.3000     0.0000     0.0000    0.0
  7  3    65.0000    77.0000     0.6000    -1.6000     0.0000     0.0000    0.0
  7  4  -172.0000    67.0000     1.9000    -0.2000     0.0000     0.0000    0.0
  7  5     2.0000   -57.0000    -0.2000    -0.9000     0.0000     0.0000    0.0
  7  6    17.0000     4.0000    -0.2000     1.0000     0.0000     0.0000    0.0
  7  7   -94.0000    28.0000     0.0000     2.2000     0.0000     0.0000    0.0
  8  1    78.0000     0.0000    -0.2000     0.0000     0.0000     0.0000    0.0
  8  2   -67.0000   -77.0000    -0.8000    -0.8000     0.0000     0.0000    0.0
  8  3     1.0000   -25.0000    -0.6000     0.2000     0.0000     0.0000    0.0
  8  4    29.0000     3.0000     0.6000     0.6000     0.0000     0.0000    0.0
  8  5     4.0000    22.0000     1.2000    -0.4000     0.0000     0.0000    0.0
  8  6     8.0000    16.0000     0.1000     0.0000     0.0000     0.0000    0.0
  8  7    10.0000   -23.0000     0.2000    -0.3000     0.0000     0.0000    0.0
  8  8    -2.0000    -3.0000    -0.6000     0.0000     0.0000     0.0000    0.0
  9  1    24.0000     0.0000     0.3000     0.0000     0.0000     0.0000    0.0
  9  2     4.0000    12.0000    -0.2000     0.4000     0.0000     0.0000    0.0
  9  3    -1.0000   -20.0000     0.1000    -0.2000     0.0000     0.0000    0.0
  9  4    -9.0000     7.0000     0.4000     0.2000     0.0000     0.0000    0.0
  9  5   -14.0000   -21.0000    -1.1000     0.7000     0.0000     0.0000    0.0
  9  6     4.0000    12.0000     0.3000     0.0000     0.0000     0.0000    0.0
  9  7     5.0000    10.0000     0.2000    -1.2000     0.0000     0.0000    0.0
  9  8     0.0000   -17.0000    -0.9000    -0.7000     0.0000     0.0000    0.0
  9  9    -7.0000   -10.0000    -0.3000    -0.6000     0.0000     0.0000    0.0
 10  1     4.0000     0.0000     0.0000     0.0000     0.0000     0.0000    0.0
 10  2     9.0000   -19.0000     0.0000     0.0000     0.0000     0.0000    0.0
 10  3     1.0000    15.0000     0.0000     0.0000     0.0000     0.0000    0.0
 10  4   -12.0000    11.0000     0.0000     0.0000     0.0000     0.0000    0.0
 10  5     9.0000    -7.0000     0.0000     0.0000     0.0000     0.0000    0.0
 10  6    -4.0000    -7.0000     0.0000     0.0000     0.0000     0.0000    0.0
 10  7    -2.0000     9.0000     0.0000     0.0000     0.0000     0.0000    0.0
 10  8     7.0000     7.0000     0.0000     0.0000     0.0000     0.0000    0.0
 10  9     0.0000    -8.0000     0.0000     0.0000     0.0000     0.0000    0.0
 10 10    -6.0000     1.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11  1    -3.0000     0.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11  2    -4.0000     2.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11  3     2.0000     1.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11  4    -5.0000     3.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11  5    -2.0000     6.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11  6     4.0000    -4.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11  7     3.0000     0.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11  8     1.0000    -2.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11  9     3.0000     3.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11 10     3.0000    -1.0000     0.0000     0.0000     0.0000     0.0000    0.0
 11 11     0.0000    -6.0000     0.0000     0.0000     0.0000     0.0000    0.0
 
