// @(#)GEOTAIL_SURVEY.UCB.sparhawk.Regions.dat	1.2, 02/11/96
// Geotail Region Identification
   V 2.01               Coverage = 92 DOY 275 0000 through 94 DOY 060 0202
| Abbr  Description
| ----- -----------------------------------------------------------------------
| BL    Boundary Layer: mantle here; high B(>5g), +Bx(>4g), low dB, no EM waves
| BS    Bow Shock
| Cal   Calibration period
| d(cs) distance to current sheet
| FF    Fast Flow event
| FR    Flow Reversal
| LB    Lobe: mostly < 1 keV ions
| MG    Magnetosphere: ions > 1-5 keV, 1-10 keV electrons (e-)
| MS    Magnetosheath: low B (<5g), -Bx, high dB, EM waves, 1+ keV ions
| PS    Plasma Sheet: 100 eV+ ions, < ~1 keV electrons (e-)
| RF    Reduced Flow (sec p. 3)
| Rot   B rotation without boundary in plasma
| RTO   Repeated Transient Observations
| SW    Solar Wind
| Gap   No ID available due to a Gap in the data record
| ?     Unknown
| No_ID No ID characterizes the period

    Start          End
  Date/Time     Date/Time    Region      Notes
--------------------------------------------------
 92-275 0000 - 92-275 0110   BL
 92-275 0120 - 92-275 0250   MS
 92-275 0300 - 92-275 0345   BL
 92-275 0345 - 92-275 0410   BL/MS
 92-275 0410 - 92-275 0600   BL
 92-275 0600 - 92-275 0750   BL/MS
 92-275 0750 - 92-275 0945   MS
 92-275 1030 - 92-275 1102   Gap
 92-275 1105 - 92-275 1205   ?          like BL/MS 0600-0750
 92-275 1205 - 92-275 2100   BL
 92-275 2105 - 92-275 2220   MS
 92-275 2245 - 92-275 2310   MS
 92-275 2310 - 92-276 0030   BL/MS
 92-276 0030 - 92-276 0044   MS
 92-276 0100 - 92-276 0225   BL
 92-276 0240 - 92-276 0320   MS
 92-276 0325 - 92-276 0705   BL
 92-276 0710 - 92-276 0750   BL/MS
 92-276 0755 - 92-276 1020   BL
 92-276 1020 - 92-276 1120   MS
 92-276 1120 - 92-276 1155   MS/BL      dB up
 92-276 1155 - 92-276 1430   BL
 92-276 1445 - 92-276 1530   FF/BL      (low A, but EPIC ions)
 92-276 1535 - 92-276 1615   BL
 92-276 1620 - 92-276 1630   MS/BL
 92-276 1630 - 92-276 1740   Gap
 92-276 1745 - 92-276 1755   MS/BL
 92-276 1755 - 92-276 1822   MS
 92-276 1825 - 92-276 1903   BL
 92-276 1905 - 92-276 2040   MS
 92-276 2045 - 92-276 2152   BL
 92-276 2155 - 92-276 2230   MS
 92-276 2235 - 92-276 2238   BL
 92-276 2240 - 92-277 0735   MS
 92-277 0740 - 92-277 0808   BL
 92-277 0812 - 92-277 1000   MS
 92-277 1005 - 92-277 1038   BL
 92-277 1045 - 92-277 1105   MS
 92-277 1108 - 92-277 1200   MS/BL
 92-277 1205 - 92-277 1840   MS         1845-1855; fast CNO tailward flow
 92-277 1900 - 92-277 1925   FF         low n, dB, B rotation
 92-277 1935 - 92-277 2020   BL
 92-277 2025 - 92-277 2039   MS         more fast than CNO up/down
 92-277 2040 - 92-277 2348   BL         see 2000-2015 above
 92-277 2354 - 92-277 2358   MS
 92-278 0000 - 92-278 0205   BL
 92-278 0210 - 92-278 0235   BL         B rotation
 92-278 0237 - 92-278 0244   MS
 92-278 0250 - 92-278 0432   BL
 92-278 0440 - 92-278 1331   MS
 92-278 1331 - 92-278 1341   Gap
 92-278 1341 - 92-278 2320   MS
 92-278 2330 - 92-278 2333   BL?        dB up?
 92-278 2340 - 92-279 0000   MS
 92-279 0005 - 92-279 0020   BL
 92-279 0025 - 92-279 0045   MS
 92-279 0055 - 92-279 0200   BL
 92-279 0200 - 92-279 0210   MS
 92-279 0210 - 92-279 0355   BL
 92-279 0400 - 92-279 1225   MS
 92-279 1237 - 92-279 1248   RF         STICS low Sunwd flow End beam
 92-279 1251 - 92-279 1300   MS
 92-279 1303 - 92-279 1320   RF         STICS low Sunwd beam
 92-279 1335 - 92-279 1625   MS         dB up
 92-279 1635 - 92-279 1650   MS         dB up
 92-279 1655 - 92-279 1710   RF         STICS normal?
 92-279 1713 - 92-279 1720   LB
 92-279 1725 - 92-279 1735   RF
 92-279 1740 - 92-279 1805   BL
 92-279 1810 - 92-279 1955   MS         dB up a
 92-279 2000 - 92-279 2130   BL
 92-279 2142 - 92-279 2220   MS         dB up a
 92-279 2225 - 92-279 2325   BL         E up, 2303
 92-279 2330 - 92-279 2340   MS         dB up a
 92-279 2345 - 92-280 0300   BL
 92-280 0300 - 92-280 0410   Gap
 92-280 0410 - 92-280 0445   BL
 92-280 0455 - 92-280 0820   MS         dB up a
 92-280 0830 - 92-280 0902   BL
 92-280 0903 - 92-280 0912   MS         dB up 0900-0912
 92-280 0915 - 92-280 0925   RF
 92-280 0926 - 92-280 0937   LB
 92-280 0938 - 92-280 1007   RF
