 2015.000 Lat  74.690 geodetic   Long  265.180   597.000 km                     
               D =  -14 deg   0 min    SV =       1 min/yr
               I =   86 deg  41 min    SV =      -4 min/yr
               H =    2587 nT          SV =      54 nT/yr
               X =    2510 nT          SV =      52 nT/yr
               Y =    -626 nT          SV =     -13 nT/yr
               Z =   44599 nT          SV =     -22 nT/yr
               F =   44674 nT          SV =     -19 nT/yr

Lat  74.690 geodetic    Long  265.180   597.000 km                     
   DATE       D   SV      I  SV      H    SV       X    SV       Y    SV       Z    SV      F    SV
 1900.5 -104.96  138  89.76   0    193     2     -50     7    -186    -4   46319   -10  46319   -10
 1901.5 -102.69  135  89.76   0    195     3     -43     7    -190    -4   46309   -10  46309   -10
 1902.5 -100.47  131  89.76   0    198     3     -36     7    -194    -4   46299   -10  46299   -10
 1903.5  -98.32  127  89.75   0    201     3     -29     7    -199    -4   46289   -10  46289   -10
 1904.5  -96.24  123  89.75   0    204     3     -22     7    -203    -4   46279   -10  46279   -10
 1905.5  -94.45   92  89.74   0    207     3     -16     5    -207    -4   46260   -27  46261   -27
 1906.5  -92.94   89  89.74   0    211     3     -11     5    -210    -4   46233   -27  46234   -27
 1907.5  -91.48   86  89.73   0    214     3      -6     5    -214    -4   46206   -27  46206   -27
 1908.5  -90.07   83  89.73   0    218     4       0     5    -218    -4   46179   -27  46179   -27
 1909.5  -88.70   81  89.73   0    221     4       5     5    -221    -4   46151   -27  46152   -27
 1910.5  -86.76  153  89.72   0    224     3      13    10    -224    -2   46115   -45  46116   -45
 1911.5  -84.24  149  89.72   0    227     3      23    10    -226    -2   46070   -45  46071   -45
 1912.5  -81.80  145  89.71   0    231     4      33    10    -228    -2   46025   -45  46026   -45
 1913.5  -79.43  140  89.71   0    234     4      43    10    -230    -2   45980   -45  45981   -45
 1914.5  -77.13  135  89.70   0    238     4      53    10    -232    -2   45935   -45  45936   -45
 1915.5  -74.57  172  89.70   0    243     4      65    13    -234    -1   45888   -49  45889   -49
 1916.5  -71.76  165  89.69   0    248     5      77    13    -235    -1   45840   -49  45840   -49
 1917.5  -69.06  158  89.68   0    253     6      90    13    -236    -1   45791   -49  45792   -49
 1918.5  -66.48  151  89.68   0    259     6     103    13    -237    -1   45743   -49  45743   -49
 1919.5  -64.02  144  89.67  -1    265     7     116    13    -238    -1   45694   -49  45695   -49
 1920.5  -61.48  159  89.66  -1    275    13     131    17    -241    -5   45650   -39  45651   -39
 1921.5  -58.95  145  89.64  -1    288    13     148    17    -247    -5   45611   -39  45612   -39
 1922.5  -56.64  132  89.62  -1    301    14     166    17    -252    -5   45572   -39  45573   -39
 1923.5  -54.54  120  89.60  -1    316    14     183    17    -257    -5   45533   -39  45534   -39
 1924.5  -52.62  110  89.58  -1    330    15     200    17    -262    -5   45494   -39  45495   -39
 1925.5  -50.80  108  89.56  -1    346    17     218    19    -268    -6   45452   -43  45454   -43
 1926.5  -49.09   98  89.54  -1    362    17     237    19    -274    -6   45409   -43  45410   -43
 1927.5  -47.52   90  89.52  -1    379    17     256    19    -280    -6   45365   -43  45367   -43
 1928.5  -46.10   82  89.50  -1    397    17     275    19    -286    -6   45322   -43  45324   -43
 1929.5  -44.79   75  89.48  -1    414    18     294    19    -292    -6   45278   -43  45280   -43
 1930.5  -43.45   86  89.45  -1    432    17     314    20    -297    -4   45238   -37  45240   -37
 1931.5  -42.07   79  89.43  -1    450    18     334    20    -301    -4   45201   -37  45203   -37
 1932.5  -40.81   73  89.41  -1    467    18     354    20    -305    -4   45164   -37  45167   -37
 1933.5  -39.63   68  89.38  -1    485    18     374    20    -310    -4   45127   -37  45130   -37
 1934.5  -38.54   63  89.36  -1    504    18     394    20    -314    -4   45090   -37  45093   -37
