Tables of exospheric zonal harmonic expansion coefficients from
Hodges, R.R., "Monte Carlo Simulation of the terestrial exosphere"
               J. Geophys. Res., 99, 23229-23247, 1994

_________________________________________________________________________________________________________
Table 2.  Equinox, F10.7 = 80
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
_________________________________________________________________________________________________________
 6640  304534      0 -2513 -5165 -3469     0     0  -233   -21     0  -172   626     0     0   -87   477
 6648  289653      0 -2465 -5142 -3362     0     0  -196   -47     0  -147   594     0     0   -54   430
 6663  268371      0 -2358 -5087 -3289     0     0  -258   -81     0  -178   576     0     0   -90   418
 6686  244601      0 -2322 -5070 -3186     0     0  -232     3     0  -197   562     0     0  -104   380
 6717  221993      0 -2249 -4972 -3156     0     0  -217   -26     0  -175   547     0     0   -50   398
 6756  200616      0 -2152 -4907 -3101     0     0  -178   -81     0  -206   510     0     0  -126   373
 6803  180510      0 -2056 -4765 -2994     0     0  -183   -67     0  -215   486     0     0  -142   369
 6859  161442      0 -1968 -4634 -2907     0     0  -162   -69     0  -200   438     0     0  -100   323
 6925  144337      0 -1864 -4493 -2810     0     0  -175   -85     0  -212   399     0     0   -75   319
 7000  129297      0 -1774 -4382 -2699     0     0  -147   -66     0  -203   360     0     0   -78   315
 7085  115175      0 -1698 -4249 -2600     0     0  -122   -69     0  -217   329     0     0  -100   290
 7182  101933      0 -1558 -4113 -2475     0     0  -141  -109     0  -230   276     0     0  -102   308
 7290   89745      0 -1470 -3972 -2403     0     0  -127  -110     0  -212   259     0     0  -112   248
 7410   78288      0 -1368 -3783 -2265     0     0   -96  -133     0  -197   227     0     0  -129   237
 7545   67967      0 -1240 -3605 -2072     0     0   -94   -92     0  -165   201     0     0   -66   222
 7695   58341      0 -1100 -3475 -1933     0     0   -72   -81     0  -219   168     0     0   -73   165
 7861   49710      0  -982 -3249 -1807     0     0  -103   -85     0  -174   183     0     0   -72   191
 8046   42087      0  -829 -3022 -1659     0     0   -59   -48     0  -167   196     0     0   -35   170
 8252   35260      0  -673 -2844 -1595     0     0   -49   -79     0  -145   119     0     0    10   203
 8481   29359      0  -542 -2601 -1516     0     0   -45   -98     0   -83    15     0     0   -23   105
 8736   24204      0  -450 -2376 -1373     0     0   -56  -137     0  -124    51     0     0   -32   121
 9021   19765      0  -388 -2047 -1247     0     0    28   -76     0  -161    10     0     0   -75   140
 9340   16030      0  -324 -1836 -1155     0     0   -36   -26     0  -192   -72     0     0     6   115
 9698   12877      0  -275 -1594  -991     0     0   -59    -6     0  -156  -124     0     0   -55    34
10103   10254      0  -139 -1389  -820     0     0    -2  -120     0  -192   -31     0     0   -16   -28
10562    8102      0   -37 -1112  -746     0     0   -10   -37     0   -38    -2     0     0    28    40
11086    6338      0   -96  -973  -857     0     0    37  -110     0    15    -4     0     0   -23    81
11688    4922      0    65  -808  -762     0     0   -52   -83     0    94   -96     0     0   -55   139
12386    3796      0   255  -508  -748     0     0   -31  -110     0   111   -85     0     0    12   148
13202    2863      0   141  -208  -689     0     0   104  -176     0    59   150     0     0  -139   183
14169    2170      0   -91  -134  -637     0     0   235  -209     0  -118   135     0     0  -107   197
15328    1608      0  -232   -65  -853     0     0   349  -109     0  -230   154     0     0    12   165
16743    1177      0  -192   -17 -1030     0     0    73   -88     0   -86   -86     0     0    70    66
18505     845      0  -178   119 -1235     0     0   369  -103     0  -162   152     0     0   227  -116
20757     602      0  -318   -83 -1534     0     0   521    19     0   185   259     0     0   211  -312
23731     415      0  -289  -111 -1754     0     0   906    56     0   238   179     0     0   -88  -502
27839     270      0   274    64 -2754     0     0  1159   143     0   221  -193     0     0   -37  -209
33877     161      0  -271   101 -3324     0     0  1655   332     0   483    15     0     0  -136  -195
43629      81      0  -842   -55 -3818     0     0  2137  -223     0   293   141     0     0  -162  -420
62126      28      0 -2675  -284 -4274     0     0  3091  -242     0   104    84     0     0  -477  -354

_________________________________________________________________________________________________________
Table 3.  Solstice, F10.7 = 80
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
_________________________________________________________________________________________________________
 6640  388428  -5497 -2313 -4984 -3177   -48   827  -189  -246   922  -129   498   303   576  -129   337
 6648  369317  -5330 -2269 -4953 -3107   -58   815  -157  -207   853  -131   504   273   564  -104   323
 6663  342267  -5240 -2217 -4907 -3058   -61   801  -136  -215   824  -146   473   255   538  -149   313
 6686  312710  -5166 -2184 -4833 -2978   -17   750  -103  -205   813  -152   451   233   514  -180   335
 6717  283203  -5040 -2090 -4758 -2955   -33   704  -118  -230   833  -140   426   242   492  -179   348
 6756  255394  -4920 -1988 -4659 -2866   -71   675  -147  -207   781  -118   381   185   478  -146   307
 6803  228438  -4806 -1894 -4568 -2809   -86   650  -117  -207   776  -121   359   178   467  -153   322
 6859  204041  -4693 -1805 -4476 -2719   -88   639   -86  -218   749  -106   316   178   462  -155   303
 6925  182661  -4539 -1729 -4380 -2680   -74   557   -72  -237   688   -86   320   157   429  -151   284
 7000  163397  -4366 -1683 -4225 -2582  -120   508   -69  -231   637  -117   308   142   415  -169   273
 7085  145535  -4168 -1581 -4068 -2452  -124   490   -69  -225   589  -135   233    98   385  -166   226
 7182  128635  -3945 -1495 -3934 -2390   -85   430   -47  -218   520  -156   252    81   372  -160   211
 7290  112967  -3701 -1412 -3777 -2244  -122   369   -41  -219   470  -139   200    86   394  -150   222
 7410   98366  -3432 -1244 -3555 -2155  -134   284     8  -201   490  -180   163    41   389  -143   159
 7545   84865  -3219 -1139 -3384 -2017  -153   227    36  -208   470  -150   135     9   368  -149   187
 7695   72741  -2969 -1023 -3199 -1929  -148   197    21  -189   445  -203   176    46   313  -143   166
 7861   61755  -2725  -938 -2993 -1825  -137   157     5  -130   392  -188    84    92   296  -100   172
 8046   52012  -2390  -770 -2854 -1775  -182    83    31  -145   329  -187    17    55   276   -98   153
 8252   43615  -2069  -666 -2638 -1627  -141    44    57  -164   316  -164    59    40   268  -110   120
 8481   36107  -1843  -573 -2380 -1497  -149    61    60  -191   243  -191    -3    14   230   -81    97
 8736   29735  -1657  -422 -2166 -1466  -113    31    42  -183   153  -171    14   -14   218   -40    29
 9021   24208  -1443  -315 -2005 -1362  -164    -3    79  -163   217  -160    86   -17   187   -62    -9
 9340   19543  -1202  -140 -1810 -1286  -117   -99    68  -128   157  -148    28   -27   179   -37     3
 9698   15685   -919   -87 -1489 -1160   -51  -132    60   -86    87   -49    46   -51   193    39    14
10103   12477   -617   124 -1125 -1104     4  -134    77   -86    48  -135    50   -95   228    71   -63
10562    9840   -446    82 -1004  -846    -4  -222    84  -135    94   -62   -56  -108   113    76   -77
11086    7674   -301    28  -886  -821    55  -163     4   -86    86  -101  -132  -113    49    94   -52
11688    5946    -76   125  -726  -927   -61  -187    18   -37   105   -55  -100   -41    95    36   -24
12386    4538    100   211  -653  -642   -48  -256    68   -56    -2   -42   -87   -84    16   -31    44
13202    3447    356   303  -587  -691   -28  -336   144  -200    -6   -10   -63   100    97    65    11
14169    2588    570   139  -456  -600    -3  -345    33  -251  -116   -58    42   110   107   222    58
15328    1916    432   -54  -454  -550     0  -329   140  -300  -183  -214   105    71   -98   266   120
16743    1409    402  -178  -438  -423   101  -495   314  -295  -170  -335    -9    -4    -5   287    -6
18505    1014    439  -163  -282  -481   310  -343   363  -387  -169  -288  -126   166   113    41   -61
20757     714    467  -171  -327  -656   552  -338   425  -216  -111  -104  -252   207   -32  -162   -77
23731     488   -299  -498  -386 -1051   922    33   515  -175   219   -20  -110   203  -130   -45   -82
27839     318   -546 -1054    42 -1533  1325   218  1142   -78   135  -163  -114  -211  -271  -224   -79
33877     190   -199 -1117   382 -1782  1357   138  1482   -96  -129   -36   131  -142  -155  -305   122
43629      95   -744 -1730   122 -2079  2049  -438  1747  -287   211   196   159   -65    92  -361    77
