                                                                                
                                                                                
00 1960.0 GSFC (9/65)                                                   09650010
GSFC0965  1970.         9                                               09650020
  2  1-30424.8687    -0.        20.5882    -0.        -0.        -0.    09650030
  2  2 -2161.6436  5774.7937     6.0189    -3.9447    -0.        -0.    09650040
  3  1 -1536.0694    -0.       -29.0652    -0.        -0.        -0.    09650050
  3  2  3000.2321 -1949.7720     1.2055   -13.6948    -0.        -0.    09650060
  3  3  1585.2601   204.3127    -0.7050   -15.7848    -0.        -0.    09650070
  4  1  1300.9035    -0.         2.6560    -0.        -0.        -0.    09650080
  4  2 -1987.0450  -431.0374   -10.0321     6.4944    -0.        -0.    09650090
  4  3  1290.3990   230.8023     1.6348     2.9303    -0.        -0.    09650100
  4  4   871.2244  -129.9628    -1.2965    -9.2424    -0.        -0.    09650110
  5  1   957.5724    -0.        -0.8567    -0.        -0.        -0.    09650120
  5  2   802.7834   152.0185     1.9384    -1.7719    -0.        -0.    09650130
  5  3   502.6079  -268.3777    -1.1743    -1.5404    -0.        -0.    09650140
  5  4  -394.0112     2.9340    -0.5382     3.1816    -0.        -0.    09650150
  5  5   271.4478  -250.5079    -4.1704    -5.4812    -0.        -0.    09650160
  6  1  -227.7316    -0.         2.5541    -0.        -0.        -0.    09650170
  6  2   359.5200     8.6217    -0.0834     3.0445    -0.        -0.    09650180
  6  3   231.3436   121.1710     1.5269     2.8776    -0.        -0.    09650190
  6  4   -31.1976  -116.0335    -0.4253    -1.8588    -0.        -0.    09650200
  6  5  -157.2728  -110.3921    -0.7249     1.2495    -0.        -0.    09650210
  6  6   -65.2117    79.8983     1.6351     0.8041    -0.        -0.    09650220
  7  1    49.7860    -0.        -0.6977    -0.        -0.        -0.    09650230
  7  2    60.7206   -11.9215     0.9921    -1.3863    -0.        -0.    09650240
  7  3     4.5448   102.8035     0.8483     0.1197    -0.        -0.    09650250
  7  4  -241.6789    60.8995     2.1140     1.5285    -0.        -0.    09650260
  7  5    -1.1590   -27.1619     1.5719    -0.7305    -0.        -0.    09650270
  7  6     0.4627   -12.4457    -0.0915    -0.0649    -0.        -0.    09650280
  7  7  -109.1168   -11.5927     0.0601     0.4496    -0.        -0.    09650290
  8  1    70.8741    -0.        -0.        -0.        -0.        -0.    09650300
  8  2   -57.2320   -54.0146    -0.        -0.        -0.        -0.    09650310
  8  3     5.6175   -24.4457    -0.        -0.        -0.        -0.    09650320
  8  4     7.5245    -9.0703    -0.        -0.        -0.        -0.    09650330
  8  5   -24.3955     2.2124    -0.        -0.        -0.        -0.    09650340
