 MGST(6/80)  NOV 5,6 SCALAR + FINE ATT.   FORMAT(2I3,6F11.4)                    
  2  1-29989.6000     0.0        0.0        0.0        0.0        0.0           
  2  2 -1958.5900  5608.0500     0.0        0.0        0.0        0.0           
  3  1 -1994.8100     0.0        0.0        0.0        0.0        0.0           
  3  2  3027.2400 -2127.3300     0.0        0.0        0.0        0.0           
  3  3  1661.5500  -196.0600     0.0        0.0        0.0        0.0           
  4  1  1279.9000     0.0        0.0        0.0        0.0        0.0           
  4  2 -2179.8400  -334.4090     0.0        0.0        0.0        0.0           
  4  3  1251.4200   270.6580     0.0        0.0        0.0        0.0           
  4  4   833.0320  -251.0980     0.0        0.0        0.0        0.0           
  5  1   938.2940     0.0        0.0        0.0        0.0        0.0           
  5  2   782.4820   211.6350     0.0        0.0        0.0        0.0           
  5  3   398.4200  -256.7480     0.0        0.0        0.0        0.0           
  5  4  -419.2190    52.0013     0.0        0.0        0.0        0.0           
  5  5   199.2610  -297.6150     0.0        0.0        0.0        0.0           
  6  1  -217.3690     0.0        0.0        0.0        0.0        0.0           
  6  2   357.5530    45.1858     0.0        0.0        0.0        0.0           
  6  3   261.0170   149.4470     0.0        0.0        0.0        0.0           
  6  4   -73.8681  -150.2620     0.0        0.0        0.0        0.0           
  6  5  -162.0130   -78.0919     0.0        0.0        0.0        0.0           
  6  6   -48.2913    91.8463     0.0        0.0        0.0        0.0           
  7  1    48.3327     0.0        0.0        0.0        0.0        0.0           
  7  2    65.1825   -14.5014     0.0        0.0        0.0        0.0           
  7  3    41.3863    93.3856     0.0        0.0        0.0        0.0           
  7  4  -192.2180    70.6072     0.0        0.0        0.0        0.0           
  7  5     3.5149   -42.8526     0.0        0.0        0.0        0.0           
  7  6    13.7031    -2.3682     0.0        0.0        0.0        0.0           
  7  7  -107.5670    16.8745     0.0        0.0        0.0        0.0           
  8  1    71.6800     0.0        0.0        0.0        0.0        0.0           
  8  2   -58.9966   -82.4096     0.0        0.0        0.0        0.0           
  8  3     1.6067   -27.5058     0.0        0.0        0.0        0.0           
  8  4    20.5053    -4.9366     0.0        0.0        0.0        0.0           
  8  5   -12.6077    16.1242     0.0        0.0        0.0        0.0           
  8  6     0.5904    18.0758     0.0        0.0        0.0        0.0           
  8  7    10.6249   -22.9375     0.0        0.0        0.0        0.0           
  8  8    -1.9699    -9.9301     0.0        0.0        0.0        0.0           
  9  1    18.4394     0.0        0.0        0.0        0.0        0.0           
  9  2     6.7631     6.9056     0.0        0.0        0.0        0.0           
  9  3    -0.1489   -17.8990     0.0        0.0        0.0        0.0           
  9  4   -10.8002     4.0257     0.0        0.0        0.0        0.0           
  9  5    -7.0326   -22.2823     0.0        0.0        0.0        0.0           
  9  6     4.2919     9.1702     0.0        0.0        0.0        0.0           
  9  7     2.7468    16.1325     0.0        0.0        0.0        0.0           
  9  8     6.2539   -13.1125     0.0        0.0        0.0        0.0           
  9  9    -1.1676   -14.8342     0.0        0.0        0.0        0.0           
 10  1     5.5558     0.0        0.0        0.0        0.0        0.0           
 10  2    10.3702   -21.0515     0.0        0.0        0.0        0.0           
 10  3     1.1118    15.1903     0.0        0.0        0.0        0.0           
 10  4   -12.6489     8.9302     0.0        0.0        0.0        0.0           
 10  5     9.5247    -4.8391     0.0        0.0        0.0        0.0           
 10  6    -3.3030    -6.5392     0.0        0.0        0.0        0.0           
 10  7    -1.2556     8.9786     0.0        0.0        0.0        0.0           
 10  8     6.7714     9.5449     0.0        0.0        0.0        0.0           
 10  9     1.3578    -5.8746     0.0        0.0        0.0        0.0           
 10 10    -5.0942     2.1059     0.0        0.0        0.0        0.0           
 11  1    -3.2831     0.0        0.0        0.0        0.0        0.0           
 11  2    -3.4900     1.4044     0.0        0.0        0.0        0.0           
 11  3     2.4741     0.3988     0.0        0.0        0.0        0.0           
 11  4    -5.3443     2.6444     0.0        0.0        0.0        0.0           
 11  5    -2.0779     5.6026     0.0        0.0        0.0        0.0           
 11  6     4.5630    -4.2165     0.0        0.0        0.0        0.0           
 11  7     3.1328    -0.4397     0.0        0.0        0.0        0.0           
 11  8     0.6139    -1.2644     0.0        0.0        0.0        0.0           
 11  9     1.8402     3.4847     0.0        0.0        0.0        0.0           
 11 10     2.8489    -0.5119     0.0        0.0        0.0        0.0           
 11 11    -0.5456    -6.1986     0.0        0.0        0.0        0.0           
 12  1     2.4353     0.0        0.0        0.0        0.0        0.0           
 12  2    -1.3253     0.7421     0.0        0.0        0.0        0.0           
 12  3    -1.9499     1.7053     0.0        0.0        0.0        0.0           
 12  4     2.2248    -1.1394     0.0        0.0        0.0        0.0           
 12  5     0.0532    -2.7056     0.0        0.0        0.0        0.0           
 12  6    -0.4381     0.5994     0.0        0.0        0.0        0.0           
 12  7    -0.3155    -0.1395     0.0        0.0        0.0        0.0           
 12  8     1.6908    -2.3812     0.0        0.0        0.0        0.0           
 12  9     1.8305    -0.3055     0.0        0.0        0.0        0.0           
 12 10    -0.5874    -1.4414     0.0        0.0        0.0        0.0           
 12 11     2.1200    -1.5751     0.0        0.0        0.0        0.0           
 12 12     3.5175     0.6205     0.0        0.0        0.0        0.0           
