1408000000001980.06371.2    MGS481#2                                            
   MGST(4/81-2)   NO EXT    FORMAT(2I3,6F11.4)        (14,8) EPOCH 1980.        
  2  1-29987.2000     0.0       25.5006     0.0        0.0        0.0           
  2  2 -1956.8500  5604.7000    12.7797   -22.4291     0.0        0.0           
  3  1 -1996.1600     0.0      -10.9121     0.0        0.0        0.0           
  3  2  3027.4000 -2129.4900     0.4997   -12.8701     0.0        0.0           
  3  3  1663.4700  -199.5940    11.0924   -20.7837     0.0        0.0           
  4  1  1279.8400     0.0       -5.5591     0.0        0.0        0.0           
  4  2 -2181.0100  -334.3180    -6.5758     3.9476     0.0        0.0           
  4  3  1251.3900   271.1260    -2.8656     1.2512     0.0        0.0           
  4  4   832.9940  -252.2270    -0.4574    -9.3632     0.0        0.0           
  5  1   937.7240     0.0       -0.8666     0.0        0.0        0.0           
  5  2   782.4900   212.1590     1.7974    -0.4077     0.0        0.0           
  5  3   396.8810  -256.7010    -6.7219    -1.7278     0.0        0.0           
  5  4  -419.4490    52.3576     0.7498     5.7137     0.0        0.0           
  5  5   198.1100  -297.8260    -7.1757    -4.0504     0.0        0.0           
  6  1  -217.1930     0.0        0.5506     0.0        0.0        0.0           
  6  2   357.8260    45.8589    -1.8311     1.1179     0.0        0.0           
  6  3   261.0790   150.0330    -0.2326     1.5023     0.0        0.0           
  6  4   -74.3122  -150.6050    -3.3072    -1.9304     0.0        0.0           
  6  5  -161.9970   -77.7046     1.5411     3.5556     0.0        0.0           
  6  6   -48.0779    92.3465    -2.5848     0.6250     0.0        0.0           
  7  1    48.4670     0.0        1.5391     0.0        0.0        0.0           
  7  2    65.0140   -14.6005     2.2172    -1.5358     0.0        0.0           
  7  3    41.8842    93.2305     0.5549    -2.7061     0.0        0.0           
  7  4  -191.9640    70.9701     0.5589    -0.7413     0.0        0.0           
  7  5     3.4732   -43.0250     0.8978     1.1510     0.0        0.0           
  7  6    13.8394    -2.1551     0.2948     0.6146     0.0        0.0           
  7  7  -107.5630    17.2746    -1.3382     3.8416     0.0        0.0           
  8  1    72.0457     0.0        1.0795     0.0        0.0        0.0           
  8  2   -59.1687   -82.5246    -2.4521    -1.2790     0.0        0.0           
  8  3     1.6301   -27.1809     0.1498     0.9416     0.0        0.0           
  8  4    20.9040    -5.1868     0.6488     0.9903     0.0        0.0           
  8  5   -12.1437    15.9127    -0.6911    -0.2454     0.0        0.0           
  8  6     0.4333    17.9332    -1.6620    -0.5056     0.0        0.0           
  8  7    10.2831   -23.0047     1.3996    -0.6845     0.0        0.0           
  8  8    -1.8357    -9.9483     1.4643     1.7987     0.0        0.0           
  9  1    18.4998     0.0        0.0        0.0        0.0        0.0           
  9  2     6.7175     7.2322     0.0        0.0        0.0        0.0           
  9  3    -0.2359   -17.5606     0.0        0.0        0.0        0.0           
  9  4   -10.8967     3.7609     0.0        0.0        0.0        0.0           
  9  5    -7.2094   -22.2458     0.0        0.0        0.0        0.0           
  9  6     4.3976     9.1350     0.0        0.0        0.0        0.0           
  9  7     2.5015    16.1418     0.0        0.0        0.0        0.0           
  9  8     6.0789   -13.3017     0.0        0.0        0.0        0.0           
  9  9    -0.8228   -14.8067     0.0        0.0        0.0        0.0           
 10  1     5.3647     0.0        0.0        0.0        0.0        0.0           
 10  2    10.4460   -20.9417     0.0        0.0        0.0        0.0           
 10  3     1.4050    15.4728     0.0        0.0        0.0        0.0           
 10  4   -12.1238     8.6556     0.0        0.0        0.0        0.0           
 10  5     9.4872    -5.0625     0.0        0.0        0.0        0.0           
 10  6    -3.5681    -6.8346     0.0        0.0        0.0        0.0           
 10  7    -1.0295     8.9911     0.0        0.0        0.0        0.0           
 10  8     6.8808     9.6780     0.0        0.0        0.0        0.0           
 10  9     1.4149    -5.6725     0.0        0.0        0.0        0.0           
 10 10    -5.0474     2.1854     0.0        0.0        0.0        0.0           
 11  1    -3.1655     0.0        0.0        0.0        0.0        0.0           
 11  2    -3.7985     1.2410     0.0        0.0        0.0        0.0           
 11  3     2.4283     0.3517     0.0        0.0        0.0        0.0           
 11  4    -5.6169     2.8965     0.0        0.0        0.0        0.0           
 11  5    -1.8245     5.8108     0.0        0.0        0.0        0.0           
 11  6     4.4932    -4.2533     0.0        0.0        0.0        0.0           
 11  7     3.3183    -0.1433     0.0        0.0        0.0        0.0           
 11  8     0.6620    -1.3152     0.0        0.0        0.0        0.0           
 11  9     2.2744     3.1207     0.0        0.0        0.0        0.0           
 11 10     3.0744    -0.2220     0.0        0.0        0.0        0.0           
 11 11    -0.5127    -6.4101     0.0        0.0        0.0        0.0           
 12  1     2.5306     0.0        0.0        0.0        0.0        0.0           
 12  2    -1.3179     0.8516     0.0        0.0        0.0        0.0           
 12  3    -1.7512     1.9518     0.0        0.0        0.0        0.0           
 12  4     2.4466    -1.5451     0.0        0.0        0.0        0.0           
 12  5     0.1943    -3.2202     0.0        0.0        0.0        0.0           
 12  6    -0.8793     0.4874     0.0        0.0        0.0        0.0           
 12  7    -0.3620    -0.3112     0.0        0.0        0.0        0.0           
 12  8     1.3695    -2.3564     0.0        0.0        0.0        0.0           
 12  9     1.5004    -0.2571     0.0        0.0        0.0        0.0           
 12 10    -0.6277    -1.4790     0.0        0.0        0.0        0.0           
 12 11     1.8995    -1.8808     0.0        0.0        0.0        0.0           
 12 12     3.5150     1.1033     0.0        0.0        0.0        0.0           
 13  1    -1.6658     0.0        0.0        0.0        0.0        0.0           
 13  2     0.0256     0.4031     0.0        0.0        0.0        0.0           
 13  3    -0.1926     0.6179     0.0        0.0        0.0        0.0           
 13  4    -0.1506     2.2822     0.0        0.0        0.0        0.0           
 13  5     0.8084    -1.3900     0.0        0.0        0.0        0.0           
 13  6     0.5401     0.3849     0.0        0.0        0.0        0.0           
 13  7    -0.4816     0.1485     0.0        0.0        0.0        0.0           
 13  8    -0.2130    -0.2573     0.0        0.0        0.0        0.0           
 13  9     0.3159     0.1197     0.0        0.0        0.0        0.0           
 13 10    -0.5973    -0.0053     0.0        0.0        0.0        0.0           
 13 11    -0.1681    -1.3414     0.0        0.0        0.0        0.0           
 13 12     0.8132     0.5022     0.0        0.0        0.0        0.0           
 13 13    -0.0091     0.9256     0.0        0.0        0.0        0.0           
 14  1     0.0411     0.0        0.0        0.0        0.0        0.0           
 14  2    -0.4080    -0.4635     0.0        0.0        0.0        0.0           
 14  3     0.5084     0.2589     0.0        0.0        0.0        0.0           
 14  4    -0.5793     1.2100     0.0        0.0        0.0        0.0           
 14  5    -0.1343    -0.2075     0.0        0.0        0.0        0.0           
 14  6     0.8523    -0.5053     0.0        0.0        0.0        0.0           
 14  7    -0.5145    -0.0883     0.0        0.0        0.0        0.0           
 14  8     0.1587     0.8596     0.0        0.0        0.0        0.0           
 14  9    -0.8705     0.2600     0.0        0.0        0.0        0.0           
 14 10     0.1739     0.9787     0.0        0.0        0.0        0.0           
 14 11    -0.0871     0.2080     0.0        0.0        0.0        0.0           
 14 12     0.3253    -0.1189     0.0        0.0        0.0        0.0           
 14 13    -0.4895    -0.3603     0.0        0.0        0.0        0.0           
 14 14     0.4457    -0.9202     0.0        0.0        0.0        0.0           
                                                                                
