    0.0              -0.99729745D 02    0.19932601D-01    0.19940100D 04    0.14110426D 00    0.13647248D 01
    0.33333331D-01   -0.10023105D 03    0.56954889D 01    0.19941825D 04    0.15099956D 00    0.14214918D 01
    0.66666663D-01   -0.10073236D 03    0.11370691D 02    0.19946899D 04    0.16341585D 00    0.15126328D 01
    0.99999964D-01   -0.10123366D 03    0.17045202D 02    0.19955110D 04    0.17749040D 00    0.16473056D 01
    0.13333333D 00   -0.10173495D 03    0.22718714D 02    0.19966114D 04    0.19234155D 00    0.18404855D 01
    0.16666663D 00   -0.10223624D 03    0.28390960D 02    0.19979452D 04    0.20713876D 00    0.21150286D 01
    0.19999999D 00   -0.10273752D 03    0.34061728D 02    0.19994566D 04    0.22113839D 00    0.25087115D 01
    0.23333329D 00   -0.10323878D 03    0.39730865D 02    0.20010823D 04    0.23371059D 00    0.30852981D 01
    0.26666665D 00   -0.10374003D 03    0.45398290D 02    0.20027540D 04    0.24437085D 00    0.39616939D 01
    0.29999995D 00   -0.10424124D 03    0.51063992D 02    0.20044015D 04    0.25281691D 00    0.53607903D 01
    0.33333331D 00   -0.10474241D 03    0.56728036D 02    0.20059550D 04    0.25896090D 00    0.77779850D 01
    0.36666662D 00   -0.10524352D 03    0.62390561D 02    0.20073483D 04    0.26294124D 00    0.12426804D 02
    0.39999998D 00   -0.10574450D 03    0.68051773D 02    0.20085210D 04   -0.10000000D 01   -0.10000000D 01
    0.43333328D 00   -0.10624522D 03    0.73711938D 02    0.20094213D 04   -0.10000000D 01   -0.10000000D 01
    0.46666664D 00   -0.10674528D 03    0.79371374D 02    0.20100071D 04   -0.10000000D 01   -0.10000000D 01
    0.49999994D 00   -0.10724238D 03    0.85030437D 02    0.20102488D 04   -0.10000000D 01   -0.10000000D 01
    0.53333330D 00    0.72190669D 02    0.89310492D 02    0.20101297D 04   -0.10000000D 01   -0.10000000D 01
    0.56666666D 00    0.71740650D 02    0.83651024D 02    0.20096467D 04   -0.10000000D 01   -0.10000000D 01
    0.59999996D 00    0.71242237D 02    0.77990774D 02    0.20088111D 04    0.26230103D 00    0.12013559D 02
    0.63333333D 00    0.70741935D 02    0.72329377D 02    0.20076477D 04    0.25991653D 00    0.75843015D 01
    0.66666663D 00    0.70241118D 02    0.66666503D 02    0.20061943D 04    0.25618679D 00    0.52453782D 01
    0.69999999D 00    0.69740088D 02    0.61001871D 02    0.20044998D 04    0.25076065D 00    0.38709546D 01
    0.73333329D 00    0.69238949D 02    0.55335259D 02    0.20026232D 04    0.24343243D 00    0.30064618D 01
    0.76666665D 00    0.68737747D 02    0.49666514D 02    0.20006309D 04    0.23417343D 00    0.24326730D 01
    0.79999995D 00    0.68236505D 02    0.43995560D 02    0.19985946D 04    0.22314165D 00    0.20381310D 01
    0.83333331D 00    0.67735236D 02    0.38322396D 02    0.19965881D 04    0.21069374D 00    0.17608474D 01
    0.86666662D 00    0.67233947D 02    0.32647105D 02    0.19946851D 04    0.19741451D 00    0.15657019D 01
    0.89999998D 00    0.66732645D 02    0.26969843D 02    0.19929560D 04    0.18415448D 00    0.14294771D 01
    0.93333328D 00    0.66231333D 02    0.21290840D 02    0.19914652D 04    0.17202928D 00    0.13389290D 01
    0.96666664D 00    0.65730013D 02    0.15610388D 02    0.19902688D 04    0.16230139D 00    0.12851127D 01
    0.99999994D 00    0.65228686D 02    0.99288314D 01    0.19894118D 04    0.15608120D 00    0.12632184D 01
