From:	NCF::STPMODELS    "D. Bilitza (301)513-1664" 20-DEC-1996 15:16:31.07
To:	BILITZA
CC:	STPMODELS
Subj:	euv91index3.dat

From:	LRSP::KTOBISKA     24-APR-1992 18:42:52.04
To:	NSSDCA::STPMODELS
CC:	KTOBISKA
Subj:	EUV91INDEX3.DAT

  Date  Lyman-a     He I 10830 F10 F81    Date  Lyman-a     He I 10830 F10 F81
 
 89001 0.00000E+00 2.10825E+11 180 202   90183 0.00000E+00 3.75774E+11 268 182
 89002 0.00000E+00 2.66329E+11 194 203   90184 0.00000E+00 3.74200E+11 254 181
 89003 0.00000E+00 3.02784E+11 189 204   90185 0.00000E+00 3.71521E+11 238 181
 89004 0.00000E+00 3.28614E+11 196 205   90186 0.00000E+00 3.68276E+11 232 181
 89005 0.00000E+00 3.48525E+11 202 206   90187 0.00000E+00 3.64807E+11 222 181
 89006 0.00000E+00 3.65151E+11 199 207   90188 0.00000E+00 3.61376E+11 216 182
 89007 0.00000E+00 3.79980E+11 240 207   90189 0.00000E+00 3.58258E+11 190 182
 89008 0.00000E+00 3.93866E+11 260 208   90190 0.00000E+00 3.55838E+11 171 184
 89009 0.00000E+00 4.05202E+11 251 208   90191 0.00000E+00 3.54748E+11 164 185
 89010 0.00000E+00 4.08980E+11 250 209   90192 0.00000E+00 3.56081E+11 160 187
 89011 0.00000E+00 4.08980E+11 255 209   90193 0.00000E+00 3.59860E+11 161 189
 89012 0.00000E+00 3.93866E+11 263 210   90194 0.00000E+00 3.61067E+11 162 191
 89013 0.00000E+00 4.08980E+11 292 210   90195 0.00000E+00 3.59690E+11 155 193
 89014 0.00000E+00 4.08980E+11 275 210   90196 0.00000E+00 3.56734E+11 149 196
 89015 0.00000E+00 3.97645E+11 280 211   90197 0.00000E+00 3.52652E+11 147 197
 89016 0.00000E+00 3.93866E+11 292 211   90198 0.00000E+00 3.47501E+11 148 199
 89017 0.00000E+00 3.92085E+11 267 211   90199 0.00000E+00 3.40968E+11 145 200
 89018 0.00000E+00 3.90088E+11 271 211   90200 0.00000E+00 3.33411E+11 145 201
 89019 0.00000E+00 3.86309E+11 242 211   90201 0.00000E+00 3.29632E+11 154 201
 89020 0.00000E+00 3.75378E+11 222 211   90202 0.00000E+00 3.34050E+11 159 201
 89021 0.00000E+00 3.64195E+11 198 211   90203 0.00000E+00 3.40968E+11 166 201
 89022 0.00000E+00 3.63638E+11 204 211   90204 0.00000E+00 3.44563E+11 180 200
 89023 0.00000E+00 3.78752E+11 206 210   90205 0.00000E+00 3.46865E+11 187 199
 89024 0.00000E+00 3.88641E+11 211 210   90206 0.00000E+00 3.51668E+11 214 199
 89025 0.00000E+00 3.91352E+11 227 211   90207 0.00000E+00 3.63638E+11 210 198
 89026 0.00000E+00 3.89879E+11 206 211   90208 0.00000E+00 3.78752E+11 197 198
 89027 0.00000E+00 3.85749E+11 211 211   90209 0.00000E+00 3.71195E+11 193 198
 89028 0.00000E+00 3.79562E+11 207 211   90210 0.00000E+00 3.71195E+11 180 198
 89029 0.00000E+00 3.71195E+11 201 212   90211 0.00000E+00 3.71195E+11 188 198
 89030 0.00000E+00 3.59860E+11 187 213   90212 0.00000E+00 3.71195E+11 183 198
 89031 0.00000E+00 3.45668E+11 188 213   90213 0.00000E+00 3.72303E+11 199 198
 89032 0.00000E+00 3.34169E+11 185 214   90214 0.00000E+00 3.73834E+11 209 198
 89033 0.00000E+00 3.33411E+11 171 215   90215 0.00000E+00 3.75021E+11 192 199
